title,genre,mood,rating,year
Inception,Sci-Fi,Thrilling,8.8,2010
The Notebook,Romance,Emotional,7.8,2004
The Hangover,Comedy,Funny,7.7,2009
Interstellar,Sci-Fi,Thoughtful,8.6,2014
Titanic,Romance,Emotional,7.9,1997
Superbad,Comedy,Funny,7.6,2007
The Dark Knight,Action,Thrilling,9.0,2008
La La Land,Romance,Uplifting,8.0,2016
Step Brothers,Comedy,Funny,6.9,2008
Mad Max: Fury Road,Action,Thrilling,8.1,2015
The Pursuit of Happyness,Drama,Inspiring,8.0,2006
Coco,Animation,Uplifting,8.4,2017
Get Out,Horror,Thrilling,7.7,2017
A Quiet Place,Horror,Thrilling,7.5,2018
Forrest Gump,Drama,Inspiring,8.8,1994
Toy Story,Animation,Uplifting,8.3,1995
The Conjuring,Horror,Thrilling,7.5,2013
500 Days of Summer,Romance,Emotional,7.7,2009
Whiplash,Drama,Inspiring,8.5,2014
Deadpool,Action,Funny,8.0,2016
